P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
Kepler-613 b,3.0,,,,2.28684,-0.16815,0.40356,2016,2016-05-10,15.779796,-4.258e-05,4.258e-05,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-613,282.78682,46.244992,14.608,864.0,-69.42,150.34,-0.01,-0.183,0.139,0.98,-0.05,0.05,0.96,-0.07,0.17,,4.27,-2.54,3.94,5723.0,-67.42,68.68,,,4.47,",",,,,,,0.12226979,0.12226979,0.12226979,0.1222698,59.249915,59.249915,59.249915,706.83304,706.83304,706.83304,Superterran,0.96,G,18.852456,18 51 08.8413,+46 14 41.9712,0.88578046,0.70863874,1.6720163,0.89758016,1.5852234,0.94918726,1.5852234,0.86644795,1.5852234,2.5411296,1.8333941,0.45258988,0,0,Hot,0,0.26243847,Lyra,Lyr,Lyre,2.28684,5.8478451,0.12226979
Kepler-614 b,3.0,,,,2.38773,-0.16815,0.20178,2016,2016-05-10,14.034915,-2.597e-05,2.597e-05,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-614,298.38482,46.276043,14.574,571.0,-39.17,51.74,-0.07,-0.169,0.15,0.85,-0.05,0.05,0.81,-0.05,0.07,,4.79,-2.96,5.83,5268.0,-125.95,186.36,,,4.55,",",,,,,,0.10784228,0.10784228,0.10784228,0.10784228,38.928137,38.928137,38.928137,636.37164,636.37164,636.37164,Superterran,0.81,K,19.892323,19 53 32.3613,+46 16 33.7548,0.45273258,0.51991539,1.2444252,0.6585459,1.1798276,0.69672237,1.1798276,0.63574032,1.1798276,1.816706,0.80014696,0.4399673,0,0,Hot,0,0.26851892,Cygnus,Cyg,Swan,2.38773,6.2925768,0.10784228
Kepler-615 b,3.0,,,,1.73755,-0.10089,0.08968,2016,2016-05-10,10.355847,-1.854e-05,1.854e-05,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-615,282.4506,46.321404,14.337,330.0,-19.99,14.56,-0.07,-0.164,0.164,0.73,-0.04,0.04,0.69,-0.04,0.03,,3.72,-2.08,6.26,4655.0,-43.29,41.24,,,4.62,",",,,,,,0.083702979,0.083702979,0.083702979,0.083702981,28.587998,28.587998,28.587998,589.10247,589.10247,589.10247,Superterran,0.69,K,18.830041,18 49 48.1483,+46 19 17.0544,0.20029291,0.355846,0.87298354,0.45073378,0.82766527,0.47719552,0.82766527,0.43513739,0.82766527,1.2083606,0.26531844,0.40094944,0,0,Hot,0,0.31371795,Lyra,Lyr,Lyre,1.73755,3.6681895,0.083702979
Kepler-616 b,3.0,,,,2.43257,-0.20178,0.32509,2016,2016-05-10,9.9976185,-2.138e-05,2.138e-05,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-616,294.98913,46.838329,14.957,1019.0,-87.23,139.79,-0.02,-0.162,0.139,0.98,-0.05,0.06,0.97,-0.08,0.13,,3.89,-2.18,3.5,5753.0,-101.52,133.18,,,4.46,",",,,,,,0.090195034,0.090195034,0.090195034,0.090195036,113.51268,113.51268,113.51268,831.58376,831.58376,831.58376,Superterran,0.97,G,19.665943,19 39 57.3951,+46 50 17.9844,0.92344197,0.72224961,1.7027376,0.91481928,1.61435,0.96739112,1.61435,0.88308527,1.61435,2.594589,1.9303647,0.44561363,0,0,Hot,0,0.24516485,Cygnus,Cyg,Swan,2.43257,6.4945178,0.090195034
Kepler-616 c,3.0,,,,3.40784,-0.30267,0.57171,2016,2016-05-10,90.411356,-0.0004522,0.0004522,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-616,294.98913,46.838329,14.957,1019.0,-87.23,139.79,-0.02,-0.162,0.139,0.98,-0.05,0.06,0.97,-0.08,0.13,,3.89,-2.18,3.5,5753.0,-101.52,133.18,,,4.46,",",,,,,,0.39150164,0.39150164,0.39150164,0.39150165,6.0247972,6.0247972,6.0247972,399.14484,399.14484,399.14484,Neptunian,0.97,G,19.665943,19 39 57.3951,+46 50 17.9844,0.92344197,0.72224961,1.7027376,0.91481928,1.61435,0.96739112,1.61435,0.88308527,1.61435,2.594589,1.9303647,0.44561363,0,0,Hot,0,0.36358459,Cygnus,Cyg,Swan,3.40784,11.511377,0.39150164
Kepler-617 b,3.0,,,,1.32278,-0.06726,0.06726,2016,2016-05-10,1.6826961,-1.11e-06,1.11e-06,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-617,283.74071,47.516293,14.818,150.0,-10.31,10.36,-0.07,-0.082,0.077,0.51,-0.03,0.02,0.48,-0.03,0.02,M1 V,3.98,-2.27,5.48,3712.0,-33.35,33.92,,,4.77,",",,,,,,0.022115838,0.022115838,0.022115838,0.022115839,80.130193,80.130193,80.130193,762.2439,762.2439,762.2439,Terran,0.48,M,18.916048,18 54 57.7740,+47 30 58.6548,0.039192502,0.16144028,0.41454355,0.20448835,0.39301904,0.21674092,0.39301904,0.19739387,0.39301904,0.53452161,0.046586559,0.35980076,0,0,Hot,0,0.3033599,Lyra,Lyr,Lyre,1.32278,2.3086002,0.022115838
Kepler-618 b,3.0,,,,2.60072,-0.41477,0.7847,2016,2016-05-10,3.5957696,-8.82e-06,8.82e-06,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-618,286.24982,48.06094,14.827,1115.0,-118.31,333.34,0.08,-0.147,0.154,1.05,-0.05,0.07,1.08,-0.11,0.33,,4.27,-2.48,2.0,5860.0,-79.66,67.09,,,4.39,",",,,,,,0.046676744,0.046676744,0.046676744,0.046676746,565.62097,565.62097,565.62097,1242.4425,1242.4425,1242.4425,Neptunian,1.08,G,19.083322,19 04 59.9597,+48 03 39.3840,1.2323289,0.82897936,1.9489118,1.0500027,1.8477456,1.1102374,1.8477456,1.0135631,1.8477456,2.9972784,2.3738962,0.46311898,0,0,Hot,0,0.22844875,Draco,Dra,Dragon,2.60072,7.2749643,0.046676744
Kepler-619 b,3.0,,,,3.16122,-0.31388,0.65018,2016,2016-05-10,5.4042722,-5.55e-06,5.55e-06,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-619,290.84906,48.416016,14.697,1111.0,-113.12,223.44,0.05,-0.146,0.136,1.09,-0.06,0.07,1.11,-0.11,0.23,,3.47,-1.78,1.94,5980.0,-113.14,106.44,,,4.38,",",,,,,,0.062012113,0.062012113,0.062012113,0.062012115,367.1016,367.1016,367.1016,1115.171,1115.171,1115.171,Neptunian,1.11,G,19.389938,19 23 23.7776,+48 24 57.6576,1.41169,0.88080367,2.0647601,1.1156408,1.9575804,1.1795198,1.9575804,1.0769031,1.9575804,3.2079932,2.9539849,0.45298997,0,0,Hot,0,0.20661803,Cygnus,Cyg,Swan,3.16122,10.132992,0.062012113
Kepler-619 c,3.0,,,,1.69271,-0.16815,0.39235,2016,2016-05-10,1.208465,-1.67e-06,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-619,290.84906,48.416016,14.697,1111.0,-113.12,223.44,0.05,-0.146,0.136,1.09,-0.06,0.07,1.11,-0.11,0.23,,3.47,-1.78,1.94,5980.0,-113.14,106.44,,,4.38,",",,,,,,0.022845873,0.022845873,0.022845873,0.022845874,2704.7293,2704.7293,2704.7293,1837.2822,1837.2822,1837.2822,Superterran,1.11,G,19.389938,19 23 23.7776,+48 24 57.6576,1.41169,0.88080367,2.0647601,1.1156408,1.9575804,1.1795198,1.9575804,1.0769031,1.9575804,3.2079932,2.9539849,0.45298997,0,0,Hot,0,0.27037622,Cygnus,Cyg,Swan,1.69271,3.5089223,0.022845873
Kepler-62 b,3.0,,,,1.31157,-0.04484,0.04484,2013,2014-05-14,5.714932,-9e-06,9e-06,0.0553,-0.0005,0.0005,,,,89.2,-0.4,0.4,,,,,,,0.15,0.25,-0.13,0.13,,,,,Transit,,,,,Kepler-62,283.21275,45.349865,13.725,368.0,,,-0.37,-0.04,0.04,0.69,-0.02,0.02,0.64,-0.02,0.02,K2 V,7.0,-4.0,4.0,4925.0,-70.0,70.0,,,4.68,",",,,,,,0.0553,0.0553,0.0553,0.055300001,70.603019,70.603019,70.603019,738.50039,738.50039,738.50039,Terran,0.64,K,18.880851,18 52 51.0628,+45 20 59.5140,0.21591039,0.36523507,0.88572511,0.46262474,0.8397466,0.48962902,0.8397466,0.44661481,0.8397466,1.2545863,0.41405817,0.43721079,0,0,Hot,0,0.30606767,Lyra,Lyr,Lyre,1.31157,2.2754822,0.0553
Kepler-62 c,3.0,,,,0.53808,-0.03363,0.03363,2013,2014-05-14,12.4417,-0.0001,0.0001,0.0929,-0.0009,0.0009,,,,89.7,-0.2,0.2,,,,,,,0.252,0.16,-0.09,0.09,,,,,Transit,,,,,Kepler-62,283.21275,45.349865,13.725,368.0,,,-0.37,-0.04,0.04,0.69,-0.02,0.02,0.64,-0.02,0.02,K2 V,7.0,-4.0,4.0,4925.0,-70.0,70.0,,,4.68,",",,,,,,0.0929,0.0929,0.0929,0.092900002,25.017396,25.017396,25.017396,569.77768,569.77768,569.77768,Subterran,0.64,K,18.880851,18 52 51.0628,+45 20 59.5140,0.21591039,0.36523507,0.88572511,0.46262474,0.8397466,0.48962902,0.8397466,0.44661481,0.8397466,1.2545863,0.41405817,0.43721079,0,0,Hot,0,0.31357465,Lyra,Lyr,Lyre,0.53808,0.105412,0.0929
Kepler-62 d,3.0,,,,1.95054,-0.06726,0.06726,2013,2014-05-14,18.16406,-2e-05,2e-05,0.12,-0.001,0.001,,,,89.7,-0.3,0.3,,,,,,,0.326,0.22,-0.13,0.13,,,,,Transit,,,,,Kepler-62,283.21275,45.349865,13.725,368.0,,,-0.37,-0.04,0.04,0.69,-0.02,0.02,0.64,-0.02,0.02,K2 V,7.0,-4.0,4.0,4925.0,-70.0,70.0,,,4.68,",",,,,,,0.12,0.12,0.12,0.12,14.993777,14.993777,14.993777,501.32882,501.32882,501.32882,Superterran,0.64,K,18.880851,18 52 51.0628,+45 20 59.5140,0.21591039,0.36523507,0.88572511,0.46262474,0.8397466,0.48962902,0.8397466,0.44661481,0.8397466,1.2545863,0.41405817,0.43721079,0,0,Hot,0,0.34071037,Lyra,Lyr,Lyre,1.95054,4.4638619,0.12
Kepler-62 e,3.0,,,,1.61424,-0.04484,0.04484,2013,2014-05-14,122.3874,-0.0008,0.0008,0.427,-0.004,0.004,,,,89.98,-0.02,0.02,,,,,,,1.16,0.06,-0.05,0.05,,,,,Transit,,,,,Kepler-62,283.21275,45.349865,13.725,368.0,,,-0.37,-0.04,0.04,0.69,-0.02,0.02,0.64,-0.02,0.02,K2 V,7.0,-4.0,4.0,4925.0,-70.0,70.0,,,4.68,",",,,,,,0.427,0.427,0.427,0.42700001,1.1841802,1.1841802,1.1841802,265.76596,265.76596,265.76596,Superterran,0.64,K,18.880851,18 52 51.0628,+45 20 59.5140,0.21591039,0.36523507,0.88572511,0.46262474,0.8397466,0.48962902,0.8397466,0.44661481,0.8397466,1.2545863,0.41405817,0.43721079,1,0,Warm,2,0.82348299,Lyra,Lyr,Lyre,1.61424,3.2372384,0.427
Kepler-62 f,3.0,,,,1.41246,-0.06726,0.06726,2013,2014-05-14,267.291,-0.005,0.005,0.718,-0.007,0.007,,,,89.9,-0.03,0.03,,,,,,,1.95,0.41,-0.14,0.14,,,,,Transit,,,,,Kepler-62,283.21275,45.349865,13.725,368.0,,,-0.37,-0.04,0.04,0.69,-0.02,0.02,0.64,-0.02,0.02,K2 V,7.0,-4.0,4.0,4925.0,-70.0,70.0,,,4.68,",",,,,,,0.718,0.718,0.718,0.71800002,0.41881733,0.41881733,0.41881733,204.95149,204.95149,204.95149,Terran,0.64,K,18.880851,18 52 51.0628,+45 20 59.5140,0.21591039,0.36523507,0.88572511,0.46262474,0.8397466,0.48962902,0.8397466,0.44661481,0.8397466,1.2545863,0.41405817,0.43721079,1,1,Warm,1,0.68613427,Lyra,Lyr,Lyre,1.41246,2.5805743,0.718
Kepler-620 b,3.0,,,,3.31816,-0.69502,1.22189,2016,2016-05-10,12.913754,-4.951e-05,4.951e-05,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-620,291.15939,51.334866,14.647,1241.0,-167.77,458.38,0.03,-0.157,0.141,1.15,-0.08,0.15,1.22,-0.16,0.45,,3.02,-1.27,1.16,6155.0,-147.72,120.88,,,4.33,",",,,,,,0.11283501,0.11283501,0.11283501,0.11283501,150.32556,150.32556,150.32556,892.07859,892.07859,892.07859,Neptunian,1.22,F,19.410627,19 24 38.2575,+51 20 05.5176,1.9139057,1.0146878,2.3696043,1.2852144,2.2466007,1.3586093,2.2466007,1.2405542,2.2466007,3.7352875,4.0619637,0.45060078,0,0,Hot,0,0.20566427,Cygnus,Cyg,Swan,3.31816,11.001799,0.11283501
Kepler-621 b,3.0,,,,2.29805,-0.19057,0.06726,2016,2016-05-10,2.6281137,-1.77e-06,1.77e-06,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-621,290.92729,39.914145,14.915,389.0,-15.58,14.24,-0.02,-0.102,0.111,0.72,-0.03,0.02,0.68,-0.02,0.02,,3.63,-1.91,5.26,4521.0,-51.47,73.87,,,4.63,",",,,,,,0.033397694,0.033397694,0.033397694,0.033397695,155.17135,155.17135,155.17135,899.18239,899.18239,899.18239,Superterran,0.68,K,19.395153,19 23 42.5523,+39 54 50.9220,0.17307905,0.33244703,0.8205523,0.42109589,0.77795509,0.44588989,0.77795509,0.40652384,0.77795509,1.1232748,0.20979292,0.39748442,0,0,Hot,0,0.24851576,Lyra,Lyr,Lyre,2.29805,5.8965974,0.033397694
Kepler-622 b,3.0,,,,2.1299,-0.15694,0.28025,2016,2016-05-10,14.282267,-2.663e-05,2.663e-05,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-622,284.47847,40.93311,14.672,259.0,-11.36,12.8,-0.09,-0.092,0.095,0.64,-0.03,0.03,0.61,-0.02,0.02,,3.47,-1.85,4.81,4201.0,-36.96,46.67,,,4.67,",",,,,,,0.099258486,0.099258486,0.099258486,0.099258488,10.539591,10.539591,10.539591,459.04033,459.04033,459.04033,Superterran,0.61,K,18.965232,18 57 54.8368,+40 55 59.1960,0.10383865,0.26008539,0.65179915,0.32943887,0.61796042,0.34897301,0.61796042,0.31803176,0.61796042,0.87004816,0.11640784,0.37932058,0,0,Hot,0,0.362141,Lyra,Lyr,Lyre,2.1299,5.1829123,0.099258486
Kepler-623 b,3.0,,,,3.01549,-0.21299,0.3363,2016,2016-05-10,9.0709773,-1.283e-05,1.283e-05,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-623,296.98672,47.47739,14.959,811.0,-56.31,95.06,-0.03,-0.175,0.15,0.9,-0.05,0.04,0.86,-0.06,0.1,,4.47,-2.77,6.05,5443.0,-85.59,103.28,,,4.53,",",,,,,,0.082166184,0.082166184,0.082166184,0.082166186,86.149479,86.149479,86.149479,776.17218,776.17218,776.17218,Neptunian,0.86,G,19.799116,19 47 56.8168,+47 28 38.6040,0.5816194,0.58365534,1.3887232,0.73927839,1.3166355,0.78199392,1.3166355,0.71366345,1.3166355,2.0591274,1.1015772,0.44329237,0,0,Hot,0,0.22328867,Cygnus,Cyg,Swan,3.01549,9.3527288,0.082166184
Kepler-624 b,3.0,,,,2.30926,-0.23541,0.32509,2016,2016-05-10,14.586496,-2.876e-05,2.876e-05,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-624,295.19339,39.539677,13.49,731.0,-72.38,105.32,-0.06,-0.114,0.104,1.1,-0.06,0.05,1.18,-0.11,0.17,,3.72,-1.68,1.23,6117.0,-63.28,70.67,,,4.33,",",,,,,,0.12057977,0.12057977,0.12057977,0.12057977,120.13172,120.13172,120.13172,843.44998,843.44998,843.44998,Superterran,1.18,F,19.67956,19 40 46.4171,+39 32 22.8372,1.7466528,0.97158549,2.2707195,1.2306219,2.1528489,1.3009384,2.1528489,1.1878659,2.1528489,3.5683469,3.7492854,0.45967007,0,0,Hot,0,0.25040746,Cygnus,Cyg,Swan,2.30926,5.9455152,0.12057977
Kepler-625 b,3.0,,,,1.99538,-0.04484,0.05605,2016,2016-05-10,7.7519249,-1.063e-05,1.063e-05,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-625,292.15046,39.637581,13.307,502.0,-13.2,15.91,0.1,-0.085,0.087,1.04,-0.02,0.02,0.96,-0.02,0.03,,1.51,-0.3,0.571,5789.0,-43.94,46.81,,,4.49,",",,,,,,0.077647422,0.077647422,0.077647422,0.077647424,153.81236,153.81236,153.81236,897.20713,897.20713,897.20713,Superterran,0.96,G,19.476698,19 28 36.1138,+39 38 15.2916,0.92735349,0.72221417,1.7010187,0.91477349,1.6127204,0.96731133,1.6127204,0.88303635,1.6127204,2.6000783,2.0946045,0.38820886,0,0,Hot,0,0.2635369,Cygnus,Cyg,Swan,1.99538,4.6394796,0.077647422
Kepler-625 c,3.0,,,,1.05374,-0.03363,0.04484,2016,2016-05-10,4.1653651,-1.304e-05,1.304e-05,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-625,292.15046,39.637581,13.307,502.0,-13.2,15.91,0.1,-0.085,0.087,1.04,-0.02,0.02,0.96,-0.02,0.03,,1.51,-0.3,0.571,5789.0,-43.94,46.81,,,4.49,",",,,,,,0.051320323,0.051320323,0.051320323,0.051320324,352.10042,352.10042,352.10042,1103.5996,1103.5996,1103.5996,Terran,0.96,G,19.476698,19 28 36.1138,+39 38 15.2916,0.92735349,0.72221417,1.7010187,0.91477349,1.6127204,0.96731133,1.6127204,0.88303635,1.6127204,2.6000783,2.0946045,0.38820886,0,0,Hot,0,0.29665494,Cygnus,Cyg,Swan,1.05374,1.1724075,0.051320323
Kepler-626 b,3.0,,,,2.28684,-0.20178,0.28025,2016,2016-05-10,14.485852,-2.363e-05,2.363e-05,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-626,288.69865,39.708288,13.946,690.0,-60.71,82.19,0.01,-0.104,0.092,1.01,-0.04,0.05,1.05,-0.09,0.12,,5.37,-2.96,2.27,5813.0,-94.62,93.83,,,4.4,",",,,,,,0.11665751,0.11665751,0.11665751,0.11665752,82.878733,82.878733,82.878733,768.69788,768.69788,768.69788,Superterran,1.05,G,19.246578,19 14 47.6799,+39 42 29.8368,1.1278946,0.79533364,1.8720594,1.0073877,1.7748825,1.0652218,1.7748825,0.97243387,1.7748825,2.8674644,2.1615811,0.47496435,0,0,Hot,0,0.25630554,Lyra,Lyr,Lyre,2.28684,5.8478451,0.11665751
Kepler-627 b,3.0,,,,3.73293,-0.81833,1.60303,2016,2016-05-10,40.699444,-0.0001783,0.0001783,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-627,292.10428,39.767914,13.949,1143.0,-215.07,482.07,0.05,-0.142,0.126,1.3,-0.14,0.21,1.49,-0.27,0.64,,2.24,-0.62,0.816,6424.0,-213.39,160.13,,,4.21,",",,,,,,0.25266767,0.25266767,0.25266767,0.25266768,53.062042,53.062042,53.062042,687.60797,687.60797,687.60797,Neptunian,1.49,F,19.47362,19 28 25.0306,+39 46 04.4904,3.3875313,1.3282935,3.0868874,1.6824185,2.9266509,1.7781341,2.9266509,1.6238871,2.9266509,4.9694168,6.7172308,0.4465951,0,0,Hot,0,0.20602157,Cygnus,Cyg,Swan,3.73293,13.43724,0.25266767
Kepler-628 b,3.0,,,,8.39629,-1.41246,1.62545,2016,2016-05-10,15.458057,-2.95e-06,2.95e-06,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-628,290.44926,39.854802,13.398,579.0,-97.69,112.05,0.04,-0.089,0.073,1.0,-0.04,0.05,1.28,-0.21,0.25,,8.71,-1.6,1.3,5721.0,-51.36,47.04,,,4.22,",",,,,,,0.121417,0.121417,0.121417,0.121417,106.6688,106.6688,106.6688,818.75555,818.75555,818.75555,Jovian,1.28,G,19.363285,19 21 47.8253,+39 51 17.2872,1.5725207,0.94430409,2.2281859,1.1960801,2.1125227,1.264852,2.1125227,1.1545948,2.1125227,3.3858051,1.839451,0.51313054,0,0,Hot,0,0.11039357,Lyra,Lyr,Lyre,8.39629,53.210457,0.121417
Kepler-629 b,3.0,,,,1.37883,-0.04484,0.05605,2016,2016-05-10,7.2385854,-1.18e-05,1.18e-05,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-629,289.41783,39.945013,13.359,383.0,-11.12,10.81,0.01,-0.104,0.093,0.93,-0.03,0.03,0.84,-0.02,0.02,,1.91,-0.611,1.13,5444.0,-60.2,71.98,,,4.55,",",,,,,,0.07146713,0.07146713,0.07146713,0.071467132,108.71939,108.71939,108.71939,822.66242,822.66242,822.66242,Terran,0.84,G,19.294523,19 17 40.2833,+39 56 42.0468,0.55528979,0.5702593,1.3568053,0.72231048,1.2863745,0.76404484,1.2863745,0.69728338,1.2863745,2.0119798,1.1155984,0.38894785,0,0,Hot,0,0.29670904,Lyra,Lyr,Lyre,1.37883,2.4771268,0.07146713
Kepler-63 b,3.0,120.13899,,,6.10945,-0.20178,0.20178,2013,2014-05-14,9.4341505,-1e-06,1e-06,0.08,-0.002,0.002,0.45,,,87.806,-0.019,0.018,,,,,,,0.4,0.732,-0.003,0.003,,,,,Transit,,,,,Kepler-63,289.22618,49.548203,12.02,200.0,-15.0,15.0,0.05,-0.08,0.08,0.98,-0.04,0.04,0.9,-0.02,0.03,,0.21,-0.045,0.045,5576.0,-50.0,50.0,,,4.52,",",4.4344618,19.664452,3.2186943,0.52683863,0.0021863709,0.0881,0.044,0.116,0.082174072,122.74941,52.137325,362.37595,813.38038,684.59244,1111.5647,Jovian,0.9,G,19.281746,19 16 54.2866,+49 32 53.5308,0.70155985,0.63614993,1.5073497,0.80576712,1.4291043,0.85221296,1.4291043,0.77783536,1.4291043,2.2614976,1.424218,0.27394922,0,0,Hot,0,0.13847668,Cygnus,Cyg,Swan,6.10945,120.13899,0.08
Kepler-630 b,3.0,,,,3.18364,-0.3363,0.3363,2016,2016-05-10,161.47439,-0.0009011,0.0009011,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-630,293.42704,39.942437,13.871,657.0,-50.36,70.56,0.03,-0.095,0.093,1.02,-0.04,0.04,1.04,-0.08,0.11,,4.47,-2.43,2.39,5829.0,-98.87,97.42,,,4.42,",",,,,,,0.5840438,0.5840438,0.5840438,0.58404381,3.2797498,3.2797498,3.2797498,342.85074,342.85074,342.85074,Neptunian,1.04,G,19.561804,19 33 42.4940,+39 56 32.7732,1.1187461,0.7913364,1.861881,1.0023242,1.7652325,1.0598527,1.7652325,0.96754379,1.7652325,2.8558115,2.2291315,0.46217823,0,0,Hot,0,0.47265751,Cygnus,Cyg,Swan,3.18364,10.255306,0.5840438
Kepler-631 b,3.0,,,,2.90339,-0.23541,0.32509,2016,2016-05-10,17.979791,-3.77e-05,3.77e-05,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-631,296.88576,40.228233,13.5,843.0,-67.0,92.69,0.23,-0.079,0.083,1.24,-0.05,0.05,1.33,-0.1,0.14,,2.51,-0.912,0.83,6185.0,-75.47,85.62,,,4.28,",",,,,,,0.14426906,0.14426906,0.14426906,0.14426907,111.43056,111.43056,111.43056,827.7439,827.7439,827.7439,Neptunian,1.33,F,19.792385,19 47 32.5854,+40 13 41.6388,2.319267,1.1149492,2.6021837,1.4122055,2.4671072,1.4928172,2.4671072,1.3631259,2.4671072,4.1118678,4.3855849,0.44803405,0,0,Hot,0,0.22459143,Cygnus,Cyg,Swan,2.90339,8.7701168,0.14426906
Kepler-632 b,3.0,,,,2.20837,-0.07847,0.32509,2016,2016-05-10,30.996607,-4.756e-05,4.756e-05,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-632,297.25261,40.288605,13.332,349.0,-10.8,11.56,0.11,-0.091,0.09,0.91,-0.03,0.03,0.84,-0.02,0.02,,3.02,-1.43,2.24,5322.0,-82.67,89.61,,,4.55,",",,,,,,0.18709671,0.18709671,0.18709671,0.18709671,14.4882,14.4882,14.4882,497.04821,497.04821,497.04821,Superterran,0.84,G,19.816842,19 49 00.6308,+40 17 18.9780,0.50716199,0.5486828,1.3108049,0.69498299,1.2427616,0.7352301,1.2427616,0.67091194,1.2427616,1.9228133,0.89811983,0.4167796,0,0,Hot,0,0.3290812,Cygnus,Cyg,Swan,2.20837,5.5112567,0.18709671
